,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
34961,2011-08-10,Cyprus,Moldova,3.0,2.0,Friendly,Nicosia,Cyprus,False
34962,2011-08-10,Equatorial Guinea,Guinea-Bissau,1.0,4.0,Friendly,Lisbon,Portugal,True
34963,2011-08-10,France,Chile,1.0,1.0,Friendly,Montpellier,France,False
34964,2011-08-10,Gabon,Guinea,1.0,1.0,Friendly,Saint-Leu-la-Forêt,France,True
34965,2011-08-10,Gambia,DR Congo,3.0,0.0,Friendly,Banjul,Gambia,False
34966,2011-08-10,Germany,Brazil,3.0,2.0,Friendly,Stuttgart,Germany,False
34967,2011-08-10,Honduras,Venezuela,2.0,0.0,Friendly,Fort Lauderdale,United States,True
34968,2011-08-10,Hungary,Iceland,4.0,0.0,Friendly,Budapest,Hungary,False
34969,2011-08-10,Republic of Ireland,Croatia,0.0,0.0,Friendly,Dublin,Republic of Ireland,False
34970,2011-08-10,Israel,Ivory Coast,3.0,4.0,Friendly,Geneva,Switzerland,True
34971,2011-08-10,Italy,Spain,2.0,1.0,Friendly,Bari,Italy,False
34972,2011-08-10,Japan,South Korea,3.0,0.0,Friendly,Sapporo,Japan,False
34973,2011-08-10,Kazakhstan,Syria,1.0,1.0,Friendly,Astana,Kazakhstan,False
34974,2011-08-10,Kuwait,North Korea,0.0,0.0,Friendly,Kuwait City,Kuwait,False
34975,2011-08-10,Latvia,Finland,0.0,2.0,Friendly,Riga,Latvia,False
34976,2011-08-10,Liberia,Angola,0.0,0.0,Friendly,Paynesville,Liberia,False
34977,2011-08-10,Liechtenstein,Switzerland,1.0,2.0,Friendly,Vaduz,Liechtenstein,False
34978,2011-08-10,Lithuania,Armenia,3.0,0.0,Friendly,Kaunas,Lithuania,False
34979,2011-08-10,Malta,Central African Republic,2.0,1.0,Friendly,Attard,Malta,False
34980,2011-08-10,Niger,Togo,3.0,3.0,Friendly,Niamey,Niger,False
34981,2011-08-10,Northern Ireland,Faroe Islands,4.0,0.0,UEFA Euro qualification,Belfast,Northern Ireland,False
34982,2011-08-10,Norway,Czech Republic,3.0,0.0,Friendly,Oslo,Norway,False
34983,2011-08-10,Oman,Bahrain,1.0,1.0,Friendly,Dubai,United Arab Emirates,True
34984,2011-08-10,Poland,Georgia,1.0,0.0,Friendly,Lubin,Poland,False
34985,2011-08-10,Portugal,Luxembourg,5.0,0.0,Friendly,Faro,Portugal,False
34986,2011-08-10,Russia,Serbia,1.0,0.0,Friendly,Moscow,Russia,False
34987,2011-08-10,San Marino,Romania,0.0,1.0,Friendly,Serravalle,San Marino,False
34988,2011-08-10,Scotland,Denmark,2.0,1.0,Friendly,Glasgow,Scotland,False
34989,2011-08-10,Senegal,Morocco,0.0,2.0,Friendly,Dakar,Senegal,False
34990,2011-08-10,Slovenia,Belgium,0.0,0.0,Friendly,Ljubljana,Slovenia,False
34991,2011-08-10,South Africa,Burkina Faso,3.0,0.0,Friendly,Johannesburg,South Africa,False
34992,2011-08-10,Tunisia,Mali,4.0,2.0,Friendly,Monastir,Tunisia,False
