,date,home_team,away_team,winner,first_shooter
548,2019-06-29,Uruguay,Peru,Peru,Uruguay
549,2019-07-05,Morocco,Benin,Benin,Benin
550,2019-07-07,Madagascar,DR Congo,Madagascar,Madagascar
551,2019-07-08,Ghana,Tunisia,Tunisia,Ghana
552,2019-07-11,Ivory Coast,Algeria,Algeria,Algeria
553,2019-07-28,Mauritius,Réunion,Réunion,
554,2019-09-08,Tanzania,Burundi,Tanzania,Tanzania
555,2019-10-13,Chad,Liberia,Chad,
556,2019-10-13,Gambia,Djibouti,Gambia,
557,2020-10-08,Bosnia and Herzegovina,Northern Ireland,Northern Ireland,Bosnia and Herzegovina
558,2020-10-08,Slovakia,Republic of Ireland,Slovakia,Slovakia
559,2020-10-08,Scotland,Israel,Scotland,Scotland
560,2020-11-12,Serbia,Scotland,Scotland,Scotland
561,2021-06-03,Mexico,Costa Rica,Mexico,Mexico
562,2021-06-06,Honduras,Costa Rica,Honduras,Costa Rica
563,2021-06-28,France,Switzerland,Switzerland,Switzerland
564,2021-07-02,Peru,Paraguay,Peru,Paraguay
565,2021-07-02,Switzerland,Spain,Spain,Spain
566,2021-07-03,Uruguay,Colombia,Colombia,Colombia
567,2021-07-06,Italy,Spain,Italy,Italy
568,2021-07-06,Trinidad and Tobago,French Guiana,Trinidad and Tobago,French Guiana
569,2021-07-06,Argentina,Colombia,Argentina,Colombia
570,2021-07-06,Guatemala,Guadeloupe,Guadeloupe,Guatemala
571,2021-07-11,England,Italy,Italy,Italy
572,2021-07-16,Senegal,Eswatini,Senegal,Eswatini
573,2021-07-18,Eswatini,Mozambique,Eswatini,Mozambique
574,2021-07-18,South Africa,Senegal,South Africa,South Africa
575,2021-11-19,Sri Lanka,Seychelles,Seychelles,
576,2021-12-11,Morocco,Algeria,Algeria,Algeria
577,2021-12-18,Qatar,Egypt,Qatar,Qatar
578,2022-01-23,Burkina Faso,Gabon,Burkina Faso,Gabon
579,2022-01-26,Ivory Coast,Egypt,Egypt,Ivory Coast
580,2022-01-26,Mali,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
581,2022-02-03,Cameroon,Egypt,Egypt,Cameroon
582,2022-02-05,Cameroon,Burkina Faso,Cameroon,Cameroon
583,2022-02-06,Senegal,Egypt,Senegal,Senegal
584,2022-03-25,Tajikistan,Uganda,Uganda,
585,2022-03-29,Kazakhstan,Moldova,Kazakhstan,Moldova
586,2022-03-29,Senegal,Egypt,Senegal,Senegal
587,2022-06-13,Australia,Peru,Australia,Australia
588,2022-06-14,Chile,Ghana,Ghana,Chile
589,2022-07-12,Zambia,Botswana,Zambia,
590,2022-07-13,South Africa,Mozambique,Mozambique,
591,2022-07-13,Senegal,Eswatini,Senegal,
592,2022-07-17,Mozambique,Senegal,Senegal,
593,2022-09-22,Thailand,Malaysia,Malaysia,
594,2022-09-23,Iraq,Oman,Oman,
595,2022-09-25,Malaysia,Tajikistan,Tajikistan,
596,2022-11-16,Lithuania,Iceland,Iceland,Lithuania
597,2022-11-16,Latvia,Estonia,Latvia,Latvia
598,2022-11-19,Latvia,Iceland,Iceland,Iceland
599,2022-12-05,Japan,Croatia,Croatia,Japan
600,2022-12-06,Morocco,Spain,Morocco,Morocco
601,2022-12-09,Croatia,Brazil,Croatia,Croatia
602,2022-12-09,Netherlands,Argentina,Argentina,Netherlands
603,2022-12-18,Argentina,France,Argentina,France
604,2023-06-16,Curaçao,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis
605,2023-06-17,Guyana,Grenada,Guyana,Guyana
606,2023-06-17,Suriname,Puerto Rico,Puerto Rico,Suriname
607,2023-06-18,Croatia,Spain,Spain,Croatia
608,2023-06-20,Saint Kitts and Nevis,French Guiana,Saint Kitts and Nevis,French Guiana
609,2023-07-01,India,Lebanon,India,India
610,2023-07-04,India,Kuwait,India,India
611,2023-07-09,United States,Canada,United States,Canada
612,2023-07-09,Orkney,Greenland,Greenland,
613,2023-07-12,United States,Panama,Panama,United States
614,2023-07-13,Åland,Falkland Islands,Åland,Åland
615,2023-07-14,Malawi,Lesotho,Lesotho,
616,2023-07-16,South Africa,Malawi,South Africa,
617,2023-09-07,Iraq,India,Iraq,India
618,2023-09-10,Thailand,Iraq,Iraq,Thailand
619,2023-10-13,Iraq,Qatar,Qatar,Qatar
620,2023-11-21,Mexico,Honduras,Mexico,Mexico
621,2023-12-02,Solomon Islands,New Caledonia,New Caledonia,
